;;12-13;12-13;13-14;13-14;14-15;14-15;15-16;15-16;16-17;16-17;17-18;17-18;18-19;18-19;19-20;19-20;Total geral;Total geral
;;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade;Total;Quantidade
2023-03-01;120 - EMPANADA ARGENTINA;;;;;;;;;;;R$ 16,00;1.00;;;R$ 16,00;1.00;R$ 32,00;2.00
2023-03-01;121 - QUICHE;;;;;R$ 16,00;1.00;;;;;;;;;R$ 32,00;2.00;R$ 48,00;3.00
2023-03-01;123 - QUICHES DOCES;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-01;124 - BROWNIE + SORVETE;;;;;;;;;R$ 18,00;1.00;;;;;;;R$ 18,00;1.00
2023-03-01;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 45,00;3.00;R$ 15,00;1.00;R$ 15,00;1.00;;;R$ 15,00;1.00;R$ 90,00;6.00
2023-03-01;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;R$ 17,00;1.00;;;;;;;R$ 17,00;1.00
2023-03-01;16 - CAPPUCCINO SABORIZADO;;;R$ 17,00;1.00;;;;;;;;;;;;;R$ 17,00;1.00
2023-03-01;35 - PAO DE QUEIJO PORCAO;;;;;;;;;;;R$ 12,00;1.00;;;;;R$ 12,00;1.00
2023-03-01;39 - SUCO DE LARANJA;;;;;R$ 18,00;2.00;;;;;;;;;;;R$ 18,00;2.00
2023-03-01;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;;;R$ 14,00;1.00;;;;;;;;;R$ 14,00;1.00
2023-03-01;40 - COCA COLA;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;R$ 12,00;2.00
2023-03-01;43 - AGUA MINERAL COM GAS 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-01;5 - ESPRESSO;;;;;;;;;;;;;R$ 8,00;1.00;R$ 0,00;0.00;R$ 8,00;1.00
2023-03-01;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;R$ 30,00;2.00
2023-03-01;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;R$ 22,00;1.00;;;;;R$ 22,00;1.00;R$ 44,00;2.00
2023-03-01;84 - CROISSANT QUEIJO TOMATE OREGAN;;;R$ 21,00;1.00;;;;;R$ 21,00;1.00;;;;;;;R$ 42,00;2.00
2023-03-01;86 - GUARANA ZERO;;;;;;;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00
2023-03-01;88 - TORTA DO DIA;;;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00;;;R$ 42,00;2.00
2023-03-01;89 - BROWNIE;;;;;;;;;;;R$ 14,00;1.00;;;R$ 14,00;1.00;R$ 28,00;2.00
2023-03-01;93 - PAO DE QUEIJO GRANDE;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-01 Total;2023-03-01 Total;;;R$ 38,00;2.00;R$ 55,00;4.00;R$ 74,00;5.00;R$ 124,00;8.00;R$ 77,00;6.00;R$ 35,00;3.00;R$ 105,00;7.00;R$ 508,00;35.00
2023-03-02;10 - MATCHA LATTE;;;;;;;;;R$ 14,00;1.00;;;;;;;R$ 14,00;1.00
2023-03-02;106 - CROISSANT COM CARNE DE SOL;;;;;;;R$ 25,00;1.00;;;;;;;;;R$ 25,00;1.00
2023-03-02;11 - MACCHIATTO;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-02;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;R$ 16,00;1.00;R$ 16,00;1.00;R$ 32,00;2.00;;;R$ 16,00;1.00;;;R$ 96,00;6.00
2023-03-02;121 - QUICHE;;;;;R$ 16,00;1.00;;;;;;;;;;;R$ 16,00;1.00
2023-03-02;122 - COOKIE NUTELLA;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;;;R$ 30,00;2.00
2023-03-02;123 - QUICHES DOCES;;;;;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;;;;;R$ 56,00;4.00
2023-03-02;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;R$ 15,00;1.00;R$ 30,00;2.00;R$ 15,00;1.00;R$ 30,00;2.00;;;R$ 105,00;7.00
2023-03-02;17 - CAFE LATTE TRADICIONAL;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-02;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00;R$ 20,00;1.00;;;;;R$ 60,00;3.00
2023-03-02;21 - AFFOGATO;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-02;35 - PAO DE QUEIJO PORCAO;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;;;R$ 12,00;1.00;;;R$ 36,00;3.00
2023-03-02;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-02;40 - COCA COLA;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-02;41 - COCA COLA ZERO;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-02;42 - AGUA MINERAL 330ML;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-02;43 - AGUA MINERAL COM GAS 330ML;;;R$ 6,00;1.00;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;;;R$ 18,00;3.00
2023-03-02;45 - CROISSANT TRADICIONAL;;;;;;;R$ 14,00;1.00;R$ 14,00;1.00;;;;;;;R$ 28,00;2.00
2023-03-02;5 - ESPRESSO;;;;;;;R$ 16,00;2.00;;;;;;;;;R$ 16,00;2.00
2023-03-02;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00;;;R$ 12,00;2.00
2023-03-02;8 - CAFE DM;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-02;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;;;R$ 21,00;1.00;;;;;;;R$ 21,00;1.00
2023-03-02;88 - TORTA DO DIA;;;;;R$ 63,00;3.00;;;;;;;R$ 21,00;1.00;;;R$ 84,00;4.00
2023-03-02;89 - BROWNIE;;;;;R$ 14,00;1.00;R$ 14,00;1.00;R$ 14,00;1.00;;;R$ 14,00;1.00;;;R$ 56,00;4.00
2023-03-02;93 - PAO DE QUEIJO GRANDE;;;;;;;;;R$ 10,00;1.00;R$ 10,00;1.00;;;;;R$ 20,00;2.00
2023-03-02;94 - PORCAO EXTRA;;;;;;;R$ 3,00;1.00;R$ 3,00;1.00;;;;;;;R$ 6,00;2.00
2023-03-02 Total;2023-03-02 Total;;;R$ 34,00;3.00;R$ 191,00;12.00;R$ 150,00;13.00;R$ 210,00;16.00;R$ 113,00;7.00;R$ 99,00;7.00;;;R$ 797,00;58.00
2023-03-03;120 - EMPANADA ARGENTINA;;;;;;;R$ 16,00;1.00;;;;;;;;;R$ 16,00;1.00
2023-03-03;122 - COOKIE NUTELLA;;;R$ 30,00;2.00;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;R$ 60,00;4.00
2023-03-03;13 - CAPPUCCINO ITALIANO;;;;;;;;;R$ 30,00;2.00;;;;;;;R$ 30,00;2.00
2023-03-03;131 - ALFAJOR;;;;;;;;;;;R$ 12,00;1.00;;;;;R$ 12,00;1.00
2023-03-03;35 - PAO DE QUEIJO PORCAO;;;;;;;;;R$ 12,00;1.00;;;R$ 12,00;1.00;;;R$ 24,00;2.00
2023-03-03;39 - SUCO DE LARANJA;;;;;;;R$ 9,00;1.00;;;;;;;;;R$ 9,00;1.00
2023-03-03;40 - COCA COLA;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-03;41 - COCA COLA ZERO;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-03;42 - AGUA MINERAL 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-03;43 - AGUA MINERAL COM GAS 330ML;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-03;5 - ESPRESSO;;;;;;;;;R$ 8,00;1.00;;;;;;;R$ 8,00;1.00
2023-03-03;57 - BRIGADEIRO;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-03;60 - COOKIE;;;R$ 13,00;1.00;;;;;;;;;;;;;R$ 13,00;1.00
2023-03-03;8 - CAFE DM;;;;;;;R$ 20,00;1.00;;;;;;;;;R$ 20,00;1.00
2023-03-03;85 - GUARANA ANTARTICA;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-03;88 - TORTA DO DIA;;;R$ 21,00;1.00;;;R$ 42,00;2.00;;;;;;;;;R$ 63,00;3.00
2023-03-03;89 - BROWNIE;;;;;;;;;R$ 14,00;1.00;;;;;;;R$ 14,00;1.00
2023-03-03;93 - PAO DE QUEIJO GRANDE;;;;;;;;;R$ 10,00;1.00;;;;;;;R$ 10,00;1.00
2023-03-03 Total;2023-03-03 Total;;;R$ 76,00;6.00;R$ 6,00;1.00;R$ 93,00;6.00;R$ 89,00;7.00;R$ 27,00;2.00;R$ 24,00;3.00;;;R$ 315,00;25.00
2023-03-04;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-04;122 - COOKIE NUTELLA;;;;;;;R$ 15,00;1.00;;;;;;;;;R$ 15,00;1.00
2023-03-04;40 - COCA COLA;;;;;;;;;R$ 6,00;1.00;;;;;;;R$ 6,00;1.00
2023-03-04;43 - AGUA MINERAL COM GAS 330ML;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-04;45 - CROISSANT TRADICIONAL;;;;;;;R$ 14,00;1.00;;;;;;;;;R$ 14,00;1.00
2023-03-04;5 - ESPRESSO;;;;;;;R$ 24,00;3.00;;;;;;;;;R$ 24,00;3.00
2023-03-04;53 - SUCO POLPA;;;R$ 9,00;1.00;;;;;;;;;;;;;R$ 9,00;1.00
2023-03-04;72 - CROISSANT PEITO DE PERU QUEIJO;;;R$ 22,00;1.00;;;;;;;;;;;;;R$ 22,00;1.00
2023-03-04;85 - GUARANA ANTARTICA;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-04;89 - BROWNIE;;;;;;;R$ 14,00;1.00;;;;;;;;;R$ 14,00;1.00
2023-03-04;94 - PORCAO EXTRA;;;;;;;R$ 3,00;1.00;;;;;;;;;R$ 3,00;1.00
2023-03-04 Total;2023-03-04 Total;;;R$ 31,00;2.00;;;R$ 82,00;9.00;R$ 22,00;2.00;;;;;;;R$ 135,00;13.00
2023-03-06;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 32,00;2.00;;;R$ 16,00;1.00;;;R$ 48,00;3.00
2023-03-06;123 - QUICHES DOCES;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-06;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 30,00;2.00;;;;;R$ 30,00;2.00;R$ 15,00;1.00;R$ 75,00;5.00
2023-03-06;16 - CAPPUCCINO SABORIZADO;;;;;;;R$ 17,00;1.00;;;;;;;;;R$ 17,00;1.00
2023-03-06;19 - CHOCOLATE QUENTE MARSHMALLOW;;;;;;;;;R$ 20,00;1.00;;;;;;;R$ 20,00;1.00
2023-03-06;3 - CAFE FILTRADO AEROPRESS;;;;;;;;;R$ 15,00;1.00;;;;;;;R$ 15,00;1.00
2023-03-06;33 - CHOCOLATE GELADO;;;;;;;;;R$ 18,00;1.00;;;;;;;R$ 18,00;1.00
2023-03-06;35 - PAO DE QUEIJO PORCAO;;;;;;;R$ 24,00;2.00;;;;;;;;;R$ 24,00;2.00
2023-03-06;39 - SUCO DE LARANJA;;;;;;;;;;;R$ 18,00;2.00;;;;;R$ 18,00;2.00
2023-03-06;41 - COCA COLA ZERO;;;;;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00
2023-03-06;42 - AGUA MINERAL 330ML;;;;;;;R$ 12,00;2.00;R$ 6,00;1.00;R$ 6,00;1.00;;;;;R$ 24,00;4.00
2023-03-06;43 - AGUA MINERAL COM GAS 330ML;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;;;;;;;R$ 12,00;2.00
2023-03-06;5 - ESPRESSO;;;;;;;;;R$ 8,00;1.00;R$ 8,00;1.00;;;;;R$ 16,00;2.00
2023-03-06;50 - CROISSANT COM NUTELLA;;;;;;;;;R$ 24,00;1.00;;;;;;;R$ 24,00;1.00
2023-03-06;54 - BOLO DO DIA;;;;;;;R$ 15,00;1.00;;;;;;;;;R$ 15,00;1.00
2023-03-06;56 - LATTE BISCOFF;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-06;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;R$ 18,00;3.00
2023-03-06;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;;;R$ 22,00;1.00;R$ 22,00;1.00;;;R$ 44,00;2.00
2023-03-06;85 - GUARANA ANTARTICA;;;;;;;;;;;;;;;R$ 6,00;1.00;R$ 6,00;1.00
2023-03-06;88 - TORTA DO DIA;;;;;;;;;;;;;;;R$ 21,00;1.00;R$ 21,00;1.00
2023-03-06;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;;;R$ 24,00;1.00;;;;;R$ 24,00;1.00
2023-03-06;93 - PAO DE QUEIJO GRANDE;;;;;;;R$ 10,00;1.00;R$ 10,00;1.00;;;R$ 10,00;1.00;;;R$ 30,00;3.00
2023-03-06 Total;2023-03-06 Total;;;;;R$ 12,00;2.00;R$ 120,00;11.00;R$ 133,00;9.00;R$ 124,00;10.00;R$ 78,00;5.00;R$ 42,00;3.00;R$ 509,00;40.00
2023-03-07;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;R$ 25,00;1.00;;;;;;;R$ 25,00;1.00
2023-03-07;12 - CAFE MOCHA;;;;;;;R$ 57,00;3.00;;;R$ 19,00;1.00;R$ 19,00;1.00;;;R$ 95,00;5.00
2023-03-07;120 - EMPANADA ARGENTINA;;;;;;;R$ 64,00;4.00;;;R$ 16,00;1.00;R$ 32,00;2.00;;;R$ 112,00;7.00
2023-03-07;122 - COOKIE NUTELLA;;;;;;;R$ 15,00;1.00;;;R$ 15,00;1.00;;;;;R$ 30,00;2.00
2023-03-07;123 - QUICHES DOCES;;;;;R$ 14,00;1.00;;;;;;;;;;;R$ 14,00;1.00
2023-03-07;128 - FRAPPE NUTELLA;;;;;;;;;R$ 27,00;1.00;R$ 27,00;1.00;;;;;R$ 54,00;2.00
2023-03-07;13 - CAPPUCCINO ITALIANO;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;;;R$ 30,00;2.00
2023-03-07;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;R$ 17,00;1.00;;;;;;;R$ 17,00;1.00
2023-03-07;27 - CAFE DM GELADO;;;;;;;R$ 20,00;1.00;;;;;;;;;R$ 20,00;1.00
2023-03-07;28 - ICED LATTE;;;;;;;R$ 18,00;1.00;;;;;;;;;R$ 18,00;1.00
2023-03-07;32 - MOCHA GELADO;;;;;;;;;;;R$ 19,00;1.00;;;;;R$ 19,00;1.00
2023-03-07;40 - COCA COLA;;;;;;;R$ 6,00;1.00;;;;;;;;;R$ 6,00;1.00
2023-03-07;42 - AGUA MINERAL 330ML;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-07;43 - AGUA MINERAL COM GAS 330ML;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;R$ 12,00;2.00
2023-03-07;46 - CROISSANT COM QUEIJO;;;;;;;;;;;R$ 18,00;1.00;R$ 18,00;1.00;;;R$ 36,00;2.00
2023-03-07;5 - ESPRESSO;;;R$ 8,00;1.00;R$ 24,00;3.00;;;;;R$ 8,00;1.00;;;;;R$ 40,00;5.00
2023-03-07;50 - CROISSANT COM NUTELLA;;;;;;;;;;;;;R$ 48,00;2.00;;;R$ 48,00;2.00
2023-03-07;53 - SUCO POLPA;;;;;;;;;;;;;R$ 9,00;1.00;;;R$ 9,00;1.00
2023-03-07;56 - LATTE BISCOFF;;;;;;;;;R$ 20,00;1.00;;;;;;;R$ 20,00;1.00
2023-03-07;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;;;R$ 22,00;1.00;R$ 44,00;2.00;;;R$ 66,00;3.00
2023-03-07;8 - CAFE DM;;;;;;;;;;;;;R$ 20,00;1.00;;;R$ 20,00;1.00
2023-03-07;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;;;R$ 21,00;1.00;R$ 21,00;1.00;;;;;;;R$ 42,00;2.00
2023-03-07;85 - GUARANA ANTARTICA;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-07;86 - GUARANA ZERO;;;;;;;;;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00
2023-03-07;88 - TORTA DO DIA;;;;;;;;;R$ 21,00;1.00;R$ 21,00;1.00;R$ 21,00;1.00;;;R$ 63,00;3.00
2023-03-07;89 - BROWNIE;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00;;;;;R$ 28,00;2.00
2023-03-07;91 - CROISSANT FRANGO E QUEIJO;;;;;;;;;R$ 24,00;1.00;;;;;;;R$ 24,00;1.00
2023-03-07;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;R$ 10,00;1.00;;;;;R$ 10,00;1.00
2023-03-07;95 - BROWNIE BRANCO LIMAO SICILIANO;;;;;;;;;;;R$ 16,00;1.00;;;;;R$ 16,00;1.00
2023-03-07 Total;2023-03-07 Total;;;R$ 8,00;1.00;R$ 67,00;6.00;R$ 222,00;14.00;R$ 155,00;7.00;R$ 211,00;13.00;R$ 229,00;14.00;;;R$ 892,00;55.00
2023-03-08;1 - CAFE FILTRADO V60;;;;;;;;;R$ 15,00;1.00;;;;;;;R$ 15,00;1.00
2023-03-08;120 - EMPANADA ARGENTINA;;;;;;;;;R$ 16,00;1.00;;;;;;;R$ 16,00;1.00
2023-03-08;123 - QUICHES DOCES;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-08;13 - CAPPUCCINO ITALIANO;;;R$ 15,00;1.00;;;;;R$ 15,00;1.00;;;;;;;R$ 30,00;2.00
2023-03-08;20 - CHOCOLATE BRANCO WHITTARD;;;;;;;;;;;R$ 20,00;1.00;;;;;R$ 20,00;1.00
2023-03-08;3 - CAFE FILTRADO AEROPRESS;;;;;;;;;R$ 15,00;1.00;;;;;;;R$ 15,00;1.00
2023-03-08;35 - PAO DE QUEIJO PORCAO;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;;;R$ 24,00;2.00
2023-03-08;42 - AGUA MINERAL 330ML;;;;;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00
2023-03-08;5 - ESPRESSO;;;;;;;;;R$ 16,00;2.00;;;;;;;R$ 16,00;2.00
2023-03-08;6 - ESPRESSO DUPLO;;;R$ 11,00;1.00;;;;;;;;;;;;;R$ 11,00;1.00
2023-03-08;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;;;;;;;R$ 22,00;1.00;;;;;R$ 22,00;1.00
2023-03-08;89 - BROWNIE;;;R$ 14,00;1.00;R$ 14,00;1.00;;;;;;;;;;;R$ 28,00;2.00
2023-03-08 Total;2023-03-08 Total;;;R$ 54,00;4.00;R$ 14,00;1.00;R$ 12,00;1.00;R$ 89,00;7.00;R$ 48,00;3.00;;;;;R$ 217,00;16.00
2023-03-09;10 - MATCHA LATTE;;;;;;;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00
2023-03-09;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;;;R$ 16,00;1.00;R$ 32,00;2.00;;;R$ 16,00;1.00;R$ 80,00;5.00
2023-03-09;124 - BROWNIE + SORVETE;;;;;;;R$ 18,00;1.00;;;;;;;;;R$ 18,00;1.00
2023-03-09;13 - CAPPUCCINO ITALIANO;;;R$ 15,00;1.00;R$ 15,00;1.00;;;R$ 30,00;2.00;R$ 15,00;1.00;R$ 30,00;2.00;;;R$ 105,00;7.00
2023-03-09;132 - COMBO CROISSANT CAPP ITALIANO;;;;;;;;;;;R$ 31,00;1.00;;;;;R$ 31,00;1.00
2023-03-09;35 - PAO DE QUEIJO PORCAO;;;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00;R$ 12,00;1.00;;;R$ 36,00;3.00
2023-03-09;4 - CAFE FILTRADO PRENSA FRANCESA;;;;;;;;;R$ 28,00;2.00;;;;;;;R$ 28,00;2.00
2023-03-09;41 - COCA COLA ZERO;;;R$ 6,00;1.00;;;;;;;;;;;;;R$ 6,00;1.00
2023-03-09;42 - AGUA MINERAL 330ML;;;;;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;;;R$ 12,00;2.00
2023-03-09;43 - AGUA MINERAL COM GAS 330ML;;;;;R$ 12,00;2.00;;;;;;;;;;;R$ 12,00;2.00
2023-03-09;46 - CROISSANT COM QUEIJO;;;;;;;;;;;;;R$ 18,00;1.00;;;R$ 18,00;1.00
2023-03-09;5 - ESPRESSO;;;;;;;;;R$ 8,00;1.00;R$ 16,00;2.00;R$ 16,00;2.00;;;R$ 40,00;5.00
2023-03-09;6 - ESPRESSO DUPLO;;;;;;;;;;;;;;;R$ 11,00;1.00;R$ 11,00;1.00
2023-03-09;61 - DM BLEND MOIDO 250G;;;;;;;;;;;;;;;R$ 38,50;1.00;R$ 38,50;1.00
2023-03-09;95 - BROWNIE BRANCO LIMAO SICILIANO;;;R$ 16,00;1.00;R$ 16,00;1.00;;;R$ 16,00;1.00;;;;;;;R$ 48,00;3.00
2023-03-09 Total;2023-03-09 Total;;;R$ 53,00;4.00;R$ 49,00;5.00;R$ 18,00;1.00;R$ 116,00;9.00;R$ 120,00;8.00;R$ 76,00;6.00;R$ 65,50;3.00;R$ 497,50;36.00
2023-03-10;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;;;R$ 25,00;1.00;;;;;R$ 25,00;1.00
2023-03-10;13 - CAPPUCCINO ITALIANO;;;R$ 30,00;2.00;;;;;;;R$ 15,00;1.00;;;;;R$ 45,00;3.00
2023-03-10;133 - COMBO PAO DE QUEIJO CAPP ITALI;;;;;;;;;;;R$ 22,00;1.00;;;;;R$ 22,00;1.00
2023-03-10;40 - COCA COLA;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-10;41 - COCA COLA ZERO;;;;;R$ 12,00;2.00;;;;;;;;;;;R$ 12,00;2.00
2023-03-10;42 - AGUA MINERAL 330ML;;;R$ 6,00;1.00;;;R$ 6,00;1.00;;;;;;;;;R$ 12,00;2.00
2023-03-10;43 - AGUA MINERAL COM GAS 330ML;;;;;;;R$ 6,00;1.00;;;;;R$ 6,00;1.00;;;R$ 12,00;2.00
2023-03-10;46 - CROISSANT COM QUEIJO;;;;;;;;;;;R$ 18,00;1.00;;;;;R$ 18,00;1.00
2023-03-10;5 - ESPRESSO;;;;;R$ 8,00;1.00;;;;;;;;;;;R$ 8,00;1.00
2023-03-10;57 - BRIGADEIRO;;;;;R$ 6,00;1.00;;;;;;;;;;;R$ 6,00;1.00
2023-03-10;60 - COOKIE;;;;;R$ 13,00;1.00;;;;;;;;;;;R$ 13,00;1.00
2023-03-10;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;R$ 22,00;1.00;;;;;R$ 22,00;1.00;;;;;R$ 44,00;2.00
2023-03-10;84 - CROISSANT QUEIJO TOMATE OREGAN;;;;;R$ 21,00;1.00;;;;;;;;;;;R$ 21,00;1.00
2023-03-10;89 - BROWNIE;;;;;R$ 14,00;1.00;;;;;R$ 14,00;1.00;;;;;R$ 28,00;2.00
2023-03-10;93 - PAO DE QUEIJO GRANDE;;;;;;;;;;;R$ 0,00;0.00;;;;;R$ 0,00;0.00
2023-03-10 Total;2023-03-10 Total;;;R$ 36,00;3.00;R$ 102,00;9.00;R$ 12,00;2.00;;;R$ 116,00;6.00;R$ 6,00;1.00;;;R$ 272,00;21.00
2023-03-11;106 - CROISSANT COM CARNE DE SOL;;;R$ 25,00;1.00;;;;;;;;;;;;;R$ 25,00;1.00
2023-03-11;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-11;39 - SUCO DE LARANJA;;;R$ 9,00;1.00;;;;;;;;;;;;;R$ 9,00;1.00
2023-03-11;45 - CROISSANT TRADICIONAL;;;R$ 14,00;1.00;;;;;;;;;;;;;R$ 14,00;1.00
2023-03-11;51 - CROISSANT COM GELEIA;;;;;;;;;R$ 19,00;1.00;;;;;;;R$ 19,00;1.00
2023-03-11;72 - CROISSANT PEITO DE PERU QUEIJO;;;;;R$ 22,00;1.00;;;;;;;;;;;R$ 22,00;1.00
2023-03-11;8 - CAFE DM;;;;;;;;;R$ 20,00;1.00;;;;;;;R$ 20,00;1.00
2023-03-11 Total;2023-03-11 Total;;;R$ 64,00;4.00;R$ 22,00;1.00;;;R$ 39,00;2.00;;;;;;;R$ 125,00;7.00
2023-03-13;106 - CROISSANT COM CARNE DE SOL;;;;;;;;;;;;;R$ 25,00;1.00;;;R$ 25,00;1.00
2023-03-13;120 - EMPANADA ARGENTINA;;;R$ 16,00;1.00;;;R$ 32,00;2.00;;;;;;;R$ 32,00;2.00;R$ 80,00;5.00
2023-03-13;127 - MASSA FOLHEADA;;;R$ 16,00;1.00;;;;;;;;;;;;;R$ 16,00;1.00
2023-03-13;13 - CAPPUCCINO ITALIANO;;;;;;;R$ 15,00;1.00;R$ 15,00;1.00;;;;;;;R$ 30,00;2.00
2023-03-13;131 - ALFAJOR;;;;;;;;;R$ 12,00;1.00;;;;;;;R$ 12,00;1.00
2023-03-13;15 - CAPPUCCINO CREME DE AVELA;;;;;;;;;R$ 17,00;1.00;;;;;;;R$ 17,00;1.00
2023-03-13;17 - CAFE LATTE TRADICIONAL;;;R$ 16,00;1.00;;;R$ 16,00;1.00;;;;;;;;;R$ 32,00;2.00
2023-03-13;31 - SCHWEPPES;;;;;;;R$ 0,00;0.00;;;;;;;;;R$ 0,00;0.00
2023-03-13;35 - PAO DE QUEIJO PORCAO;;;;;;;;;R$ 12,00;1.00;R$ 12,00;1.00;;;;;R$ 24,00;2.00
2023-03-13;39 - SUCO DE LARANJA;;;R$ 9,00;1.00;;;;;;;;;;;R$ 9,00;1.00;R$ 18,00;2.00
